Company,Mission
"Airgas, Inc.",Exceeding Customer Expectations with Quality Products and Services.
Express Scripts Holding Company,Express Scripts is a company dedicated to making the use of prescription drugs safer and more affordable for plan sponsors and over 5 million members and their families.
FedEx Corporation,"FedEx will produce superior financial returns for shareowners by providing high value-added supply chain, transportation, business and related information services through focused operating companies. Customer requirements will be met in the highest quality manner appropriate to each market segment served. FedEx will strive to develop mutually rewarding relationships with its employees, partners and suppliers. Safety will be the first consideration in all operations. Corporate activities will be conducted to the highest ethical and professional standards."
FMC Corporation,"Feeding the world, protecting health, and providing the conveniences of life."
"FMC Technologies, Inc.","FMC Technologies, Inc. is a leading global provider of technology solutions for the energy industry and other industrial markets. The Company designs, manufactures and services technologically sophisticated systems and products such as subsea production and processing systems, surface wellhead systems, high pressure fluid control equipment, measurement solutions, and marine loading systems for the oil and gas industry."
Aleris Corporation,"Focus on providing outstanding value to customers through delivery performance, quality, competitive prices and innovative product development."
"Allergan, Inc.","focused on discovering, developing and commercializing innovative pharmaceuticals, biologics and medical devices that enable people to live life to its greatest potential — to see more clearly, move more freely, express themselves more fully."
"Oneok, Inc.","Focused. Responsible. We provide safe, reliable energy and energy-related services to our customers."
Philip Morris International Inc.,"Focusing on four strategies: Invest in Leadership->  We will invest in excellent people, leading brands and external stakeholders important to our businesses' success. Align with Society->  We will actively participate in resolving societal concerns that are relevant to our businesses. Satisfy Adult Consumers-> We will convert our deep understanding of adult tobacco and wine consumers into better and more creative products that satisfy their preferences. Create Substantial Value for Shareholders->  We will execute our business plans to create sustainable growth and generate substantial return for shareholders. "
"Dollar Tree, Inc.","For Customers... Price Quality, and Great Prices. For Employees... Respect and Opportunity For Shareholders... A Superior Return For Communities... A Better Life"
The Sherwin-Williams Company,"For over 140 years, manufacturers have trusted Sherwin-Williams for innovative coatings and exceptional service. And you can count on us for the expertise and the support you need to get better results, from start to finish."
MeadWestvaco Corporation,"From research and design to manufacturing and distribution capabilities, our customers count on us to help them win in the global marketplace. We are delivering new consumer experiences, enhancing our customers' abilities to compete and grow profitably, and helping them perform more cost-effectively around the world."
"Gardner Denver, Inc.","Gardner Denver’s Mission is to be the leader in every market we serve by continuously improving all business processes with a focus on innovation and velocity to delight our customers, shareholders and employees while conducting ourselves with the highest of ethical standards."
The Carlyle Group L.P.,"Generate superior investment returns, inpire the confidence and loyality of our investers. Attract, develop & return highly talented professionals. Demonstrate principled industry leadership. Be responsible and respected members of global community."
International Game Technology,Generate unrivaled growth and value for all IGT stakeholders.
Google Inc.,Google’s mission is to organize the world’s information and make it universally accessible and useful
"Group 1 Automotive, Inc.","Group 1 has grown to become one of the top five dealership groups in the United States. The company has achieved this success through the execution of a strategy that emphasizes geographic and brand diversity, interrelated revenue streams, operational efficiencies and the prudent deployment of capital."
"Aaron's, Inc.","Grow Aaron's into the premier, market-dominant company in our industry, recognized by our customers and peers, as the standard bearer of integrity, honesty and fairness by... 1. Establishing superior operating standards. 2. Executing in detail our proven "
"United Parcel Service, Inc.","Grow our global business by serving the logistics needs of customers, offering excellence and value in all that we do. Maintain a financially strong company-with broad employee ownership-that provides a long-term competitive return to our shareowners. Inspire our people and business partners to do their best, offering opportunities for personal development and success. Lead by example as a responsible, caring, and sustainable company making a difference in the Communities we serve"
Fastenal Company,Growth Through Customer Service.
"Harman International Industries, Incorporated","HARMAN is dedicated to global excellence in the branded-audio and infotainment markets. We develop and deliver solutions that embrace innovation, superior value and a highly-satisfying customer experience. We achieve this by fostering a culture of employee empowerment and creativity."
Harris Corporation,"Harris Corporation will be the best-in-class global provider of mission-critical assured communications products, systems and services to both government and commercial customers, combining advanced technology and application knowledge to offer a superior value proposition."
"Hawaiian Holdings, Inc.","Hawaiian airlines Grow a profitable airline with a passion for excellence, our customers, our people and the spirit of Hawaii."
"Health Management Associates, Inc.","Healthcare Management Association develops model healthcare leaders by providing opportunities to: 1)   Develop leadership attributes and skills, 2)   Create long-lasting relationships with present and future healthcare leaders, 3)   Gain knowledge about the healthcare industry and understand the role of a leader within that industry, 4)   Gain practical experience in the healthcare industry that will lead to excellent job and/or graduate school placement, and 5)   Prepare to fulfill The Lord’s commission to do good"
Crown Castle International Corp.,Help our customers efficiently cover every part of the United States with their networks.
SLM Corporation,"Helping Families Save, Plan and Pay for College With Emphasis on Responsible Financial Practices."
Aetna Inc.,"Helping people achieve health and financial security by providing easy access to safe, cost-effective, high-quality health care and protecting their finances against health-related risks. "
Capital One Financial Corporation,"Helping to build strong and healthy communities benefits us all. We apply the same principles of innovation, collaboration and empowerment to our work in the community that we do in our business."
Honeywell International Inc.,Honeywell provides value-added products and market changing innovations. Our extensive intellectual property portfolio generates competitive advantages for us and our customers. A customer-centric approach ensures that we have more frequent interactions and simpler processes that maximize efficiencies and drive results.
KLA-Tencor Corporation,"Improve customer yield, performance, and time-to-market enabling the digital age."
Apria Healthcare Group Inc.,Improving the quality of life for our patients at home. 
"Wal-Mart Stores, Inc.","In everything we do, we're driven by a common mission: To improve the quality of life for everyday people around the world."
"TreeHouse Foods, Inc.","In order to optimize THS shareholder value, we will: 1. Become the recognized industry leader in private label, customer brands and custom products. 2. Grow tall via product innovation, consumer insight, customer partnerships and strategic acquisitions. 3. Grow strong through strategic vision, operational excellence, structural consolidation and collaborative teamwork. 4. Build competitive advantage through the relentless pursuit of our customers’ needs, lowest cost operations and shareholder returns. 5. Live by our values, true to our beliefs, respecting our legacy heritages and uniting them under one roof and culture, while building the TreeHouse of the future. 6. Exceed the expectations of our customers, suppliers, employees and shareholders alike."
"The Pantry, Inc.","In today's competitive retail marketplace, providing a bright, clean and modern shopping environment is critical to sustaining and increasing customer traffic. Accordingly, over the last four years we have remodeled or 're-imaged' more than 80 percent of our stores under the Kangaroo Express® banner. We have further strengthened our market position by steadily upgrading the merchandise side of our stores, which average approximately 2,600 square feet of selling space. We continually fine-tune our merchandise offerings, with more substantial changes in store layouts and product mix from time to time."
WABCO Holdings Inc.,"Innovation, new technologies and a powerful network of talents and operations to best serve vehicle manufacturers and operators."
"Quiksilver, Inc.",Inspire the youth and progress as the world around us evolves.
Laboratory Corporation of America Holdings,"Integrated Oncology will remain the innovation leader in the management of oncology. We will constantly strive to achieve the level of clinical science, information connectivity, and analytical technology necessary to optimize patient care.We are committed to delivering the highest standards of quality and integrity in everything we do.We recognize that behind every sample there exists a patient and a family…and that the diagnostic information we provide significantly influences their treatment decisions."
"National Oilwell Varco, Inc.","Integrity: We say what we mean, our actions reflect our words, and we honor our commitments. Customer Focus: Our customers are our number one priority and we consistently meet or exceed their expectations. Enthusiasm: We are passionate about our work and take pride in designing quality into the products, services and solutions that we provide. Stakeholder Value Creation: We employ creativity and initiative in the creation of stakeholder value and are recognized and rewarded for it. Performance Drives Results: We create our future through our choices and actions today. Teamwork: We collaborate with our suppliers, our customers and each other to optimize the sum of all individual efforts. Citizenship: We honor the culture and laws of all areas in which we participate and demonstrate respect for all."
"Intuitive Surgical, Inc",Intuitive Surgical's mission is to extend the benefits of minimally invasive surgery to those patients who can and should benefit from it.
Humana Inc.,"Is committed to helping employers manage their healthcare costs, guiding consumers to make informed health and benefits decisions, and giving back to the communities we serve."
McKesson Corporation,Is to create healthcare solutions that effectively empower healthcare professionals to focus on what matters the patient. 
Fannie Mae,Is to help more families achieve homeownership. 
CIGNA Corporation,"Is to improve the health, well-being and security of those we serve."
Robert Half International Inc.,"It has been our longstanding belief that a specialized staffing services company is only as good as its reputation with clients and job candidates. Our focus at RHI is on providing unparalleled service. Our business is at once simple and complex: We aim to find the best talent in the industry for our clients, while offering the best employment opportunities to our job candidates."
"DST Systems, Inc.",It is our mission to be a world-class global sourcing organization committed to delivering quality business solutions and multi-faceted services.
Illinois Tool Works Inc.,"It is our mission to be the most valued group to our customers, employees, and suppliers. We do this by keeping our operations simple, decentralized, and focused on the market, creating a proper internal environment for fast and accurate responses to customers' needs and desires, developing timely, added-value, and cost effective solutions with innovative ideas and flexible global logistics."
United Refining Company,"It is the mission of United Refining Company to provide our customers with a stable supply of the highest quality petroleum products at competitive prices, insure corporate profitability and growth, invest in the future of the company and community, while providing a safe and challenging working environment and encourage the personal development of our employees."
"QEP Resources, Inc.","It's a leading independent natural gas and oil exploration and production company. We create value for our shareholders through superior execution, returns-focused growth, and a low cost structure."
Kellogg Company,"Kellogg is a global company committed to building long-term growth in volume and profit and to enhancing its worldwide leadership position by providing nutritious food products of superior value. How do we uphold this mission? Our world-class leadership is dedicated to a management philosophy that holds people above profits. And they're committed to an advertising and marketing philosophy that helps ensure the Kellogg name is associated with wholesome, truthful advertising."
Kennametal Inc.,"Kennametal delivers productivity to customers seeking peak performance in demanding environments by providing innovative custom and standard wear-resistant solutions, enabled through our advanced materials sciences, application knowledge and commitment."
"Peter Kiewit Sons', Inc.","Kiewit is successful because our people have the ability and desire to build exciting and challenging projects. Kiewit people possess a drive to excel and a willingness to take on new and unique responsibilities. We have initiative. We explore innovative ideas. We seek better solutions. We are enthusiastic, hardworking and committed to quality and excellence."
Kimberly-Clark Corporation,"Kimberly-Clark has adhered to a set of simple yet insightful values established by our founders – quality, service and fair dealing. These are the standards of performance by which our leadership and employees are measured. These values have helped establish Kimberly-Clark as a leading-edge global company that produces superior health and hygiene products used by families and professionals from all walks of life and cultures around the world."
"Zimmer Holdings, Inc.","Lead the industry in delivering value to healthcare providers, their patients and stockholders, while embracing our social responsibilities."
Lennar Corporation,"Lennar builds affordable, move-up and retirement homes in Communities that cater to almost any lifestyle  such as urban, golf course, Active Adult or suburban Communities."
"L Brands, Inc.","Limited Brands is committed to building a family of the world’s best fashion brands to create sustained growth of shareholder value by focusing its time, talent, and capital on the highest return opportunities."
The Progressive Corporation,"Love and kindness, radical amazement, peace and generosity."
M&T Bank Corporation,"M&T Bank believes that its responsibility as a corporate citizen is to add value to the communities in which it operates. As part of that philosophy, the Bank contributes to nonprofit organizations that focus on improving the quality of life for its customers, its employees and its community. M&T Bank believes that strengthening community institutions leads to increased economic opportunity for individuals and a healthier overall business climate."
"LifePoint Hospitals, Inc.",Making Communities Healthier.
ManTech International Corporation,"ManTech advances customer success by delivering unique best value solutions, consulting services, and technologies that meet our clients' mission-critical needs anytime and anywhere and we create added value through quality, innovation, and partnership."
"Scripps Networks Interactive, Inc.","Many organizations rely on a mission statement, as if a single sentence could tell you about their heart and soul. At Scripps Networks Interactive, we are guided by eight Core Values. These values are Clarity in Communication,Compassion & Support,Diversity,Humor,Integrity,Openness,Shared Responsibility,Work/Life Balance."
"Sanderson Farms, Inc.",Maximizes stockholder value by being a successful producer and marketer of high quality food products and providing superior service to the food industry.
AECOM Technology Corporation,"Mission is to enhance and sustain the world's built, natural and social environments. This partnership exemplifies our commitment to this mission, which will significantly improve the quality of life for the Libyan people."
CVS Caremark Corporation,"Mission Is to improve the lives of those we serve bymaking innovative and high-quality health and pharmacy services safe, affordable and easy to access."
Cummins Inc.,"Motivating people to act like owners working together. Exceeding customer expectations by always being first to market with the best products. Partnering with our customers to make sure that they succeed. Demanding that everything we do leads to a cleaner, healthier, safer environment. Creating wealth for all stakeholders."
"Calumet Specialty Products Partners, L.P.","Moving forward, Calumet will continue to develop resources that will provide the highest possible value to our customers, our shareholders, and our employees. We continually seek to innovate and deliver nothing but excellence in specialty hydrocarbon products."
Factory Mutual Insurance Company,My point in focusing on FM Global is to describe how common purpose leadership works in a real setting.
"NextEra Energy, Inc.","NextEra Energy is focused on building long-term value for our shareholders by investing in energy technologies that are designed to provide affordable, clean and reliable power for our customers."
Tenneco Inc.,Not defind Explicitly
Nucor Corporation,"Nucor Corporation is made up of more than 21,000 teammates whose goal is to take care of our customers. We are accomplishing this by being the safest, highest quality, lowest cost, most productive, and most profitable steel and steel products company in teh world. We are committed to doing this while being cultural and environmental stewards in our communities where we live and work. We are succeeding by working together."
Walgreen Co.,"Offer customers the best drugstore service in America. We are guided by a century-old tradition of fairness, trust and honesty as we continue to expand our store base and offer career opportunities to a fast-growing and diverse group of men and women."
"Energy Transfer Equity, L.P.",Offering a distinct opportunity for investors to participate in the attractive growth of the energy sector.
"The Interpublic Group of Companies, Inc.","Our agency brands deliver custom marketing solutions to many of the world’s largest advertisers. We cover the spectrum of marketing disciplines and specialties, from public relations and consumer advertising, to mobile and search engine marketing."
"Omnicare, Inc.",Our business is pharmaceutical care in positive outcomes.
Targa Resources Corp.,"Our business objective is to target for acquisition, and subsequent improvement, strategically located midstream gathering, processing and transmission assets in stable supply and demand areas, primarily in the Gulf Coast, Gulf of Mexico, Mid-Continent and Rocky Mountain regions of the United States."
"Burger King Worldwide, Inc.","Our commitment to premium ingredients, signature recipes, and family-friendly dining experiences is what has defined our brand for more than 5 successful years."
Edison International,Our companies include one of the nation’s largest electric utilities and providers of industrial and commercial energy services nationwide.
Chevron Corporation,"Our Company's foundation is built on our Values, which distinguish us and guide our actions. We conduct our business in a socially responsible and ethical manner. We respect the law, support universal human rights, protect the environment, and benefit the communities where we work"
"Harley-Davidson, Inc.","Our employees are our company. We contribute to the fulfillment of dreams by providing motorcycles and related products to our customers. We will keep our promises, treat all customers fairly, and above all — be honest. Our business is customer satisfaction."
Carpenter Technology Corporation,"Our employees’ safety is critically important to our business.We are here to make money for our shareholders and ourselves and have fun at the same time. Treat the shareholders’ money as if it were our own.View everything through the customers’ eyes.Transparency is required for good decisions. All news, good and bad, must be delivered timely and straightforwardly.Accountability – we are each responsible to meet or beat our commitments! There are no explainable variances… only contingency plans.Make fast, fact-based decisions, then execute with passion and focus. Partner with our stakeholders to drive enhanced performance.Provide a development culture for our people.Engage in passionate debate with everything on the table for consideration. Each opinion is respected on every issue, regardless of functional role. Once a decision is made we are one team.Plan-do-check-adjust-plan-do-check-adjust. Assess the need, take action, measure results and then improve continually.Communicate, listen, communicate.Ethical conduct, internal control and risk assessment is good business and is all our responsibility.Drive lean and tandardized processes and generate results.Invest in our business and people for growth and for a future."
Public Service Enterprise Group Incorporated,"Our focus on diversity and inclusion is a top priority.We will achieve our diversity and inclusion goals by building on the following values: TRUST - We trust each other's opinions and decisions and proactively address diversity and inclusion opportunities and challenges. We assume positive intent. RESPECT - We approach each day with the determination to demonstrate dignity and respect for ourselves, coworkers, stakeholders and the communities we serve. KNOWLEDGE - We become effective allies for others by learning about cultures, traditions, and life experiences different from our own. AUTHENTICITY - We communicate in a clear, open and honest manner, with integrity and reflecting our commitment to diversity and inclusion principles and practices. We have the courage and conviction to speak up. We will not look the other way when something is wrong."
"Best Buy Co., Inc.",Our formula is simple: we’re a growth company focused on better solving the unmet needs of our customers—and we rely on our employees to solve those puzzles. Thanks for stopping. 
GameStop Corp.,"Our GameStop, EB Games and Electronics Boutique retail locations set us apart in the industry. Everything that we offer our customers-from our expansive selection of new products, to our knowledgeable associates and our value-added pre-owned products-is geared to deliver customer satisfaction. We complement our store network with GameStop.com and EBgames.com, and publish Game Informer, one of the industry's largest circulation video game magazines."
"Jabil Circuit, Inc.","Our goal is to achieve customer satisfaction through excellence in design, supply chain management, manufacturing and repair solutions. Through our culture, our drive and the expertise of each individual employee, we are uniquely positioned to provide best-in-class services to a global customer base."
"Macy's, Inc.","Our goal is to be a retailer with the ability to see opportunity on the horizon and have a clear path for capitalizing on it. To do so, we are moving faster than ever before, employing more technology and concentrating our resources on those elements most important to our core customers."
V.F. Corporation,"Our goal is to continuously exceed the expectations of our consumers, customers, shareholders and business partners. We help our retail partners win with consistently solid execution and outstanding service. And we continually find ways to improve our performance and generate bottom line results."
Celgene Corporation,"Our mission as a company is to build a major global biopharmaceutical corporation while focusing on the discovery, the development, and the commercialization of products for the treatment of cancer and other severe, immune, inflammatory conditions."
Regions Financial Corporation,"Our mission at Regions Financial Corporation is to Make Life Better, and we will do it by living by our values. Valuing, managing, and leveraging the diversity of all of our resources is the only way to be successful."
Supervalu Inc.,"Our mission at SUPERVALU always will be to serve our customers better than anyone else could serve them. We will provide our customers with value through our products and services, committing ourselves to providing the quality, variety and convenience they expect."
Tesoro Corporation,"Our mission is committed to our People-Service-Profit Philosophy to earn the loyalty of Customers and grow our family by developing and marketing. TESORO Products, given Quality, Cost, and “Customer Enthusiasm” through the integration of people, technology, and business systems to become world leader."
"Automatic Data Processing, Inc.","Our Mission is to add value to our clients by making available a broad range of premier, mission-critical, cost-effective transaction processing and information-based business solutions in selected markets on a global basis."
"Nu Skin Enterprises, Inc.","Our mission is to be a force for good throughout the world by empowering people to improve lives with rewarding business opportunities, innovative products, and an enriching, uplifting culture."
The Kroger Company,"OUR MISSION is to be a leader in the distribution and merchandising of food, health, personal care, and related consumable products and services. By achieving this objective, we will satisfy our responsibilities to shareowners, associates, customers, suppliers, and the communities we serve."
Titan Machinery Inc.,"Our mission is to be Equipment Experts, providing best in class solutions for our customers and suppliers."
J.P. Morgan Chase & Co.,"Our mission is to be the best financial services company in the world. To achieve this goal, we focus relentlessly on carrying out our business principles, which are fundamental to everything we do: Aspire to be the best , Execute superbly, Build a great team and a winning culture."
"Hertz Global Holdings, Inc.","Our mission is to be the most customer focused, cost efficient vehicle and equipment rental / leasing company in every market we serve. We will strengthen our leading worldwide positions through a shared value culture of employee and partner involvement by making strategic investments in our brand, people and products. The focus of everything we do will be continuously inproving shareholder value."
Yahoo! Inc.,"Our mission is to be the most essential global Internet service for consumers and businesses. How we pursue that mission is influenced by a set of core values - the standards that guide interactions with fellow Yahoos, the principles that direct how we service our customers, the ideals that drive what we do and how we do it. Many of our values were put into practice by two guys in a trailer some time ago; others reflect ambitions as our company grows. All of them are what we strive to achieve every day. "
Dell Inc.,"Our mission is to be the most successful IT systems company in the world by delivering the best customer experience in all markets we serve. In doing so, Dell will meet customer expectations of highest quality , leading technology, competitive pricing, individual and company accountability best-in-class service and support, flexible customization capability, superior corporate citizenship"
"Franklin Resources, Inc.","Our mission is to be the premier global investment management organization. Guided by our core values and unique perspective, we achieve this mission by offering high quality investment solutions, providing outstanding service and attracting, motivating and retaining talented people."
HollyFrontier Corporation,"Our mission is to be the premier U.S. petroleum refining, pipeline and terminal company as measured by superior financial performance and sustainable, profitable growth. We seek to accomplish this by: Operating in a safe, reliable and environmentally responsible manner, Efficiently operating our existing assets, Offering our customers superior products and services, and Growing both organically and through strategic acquisitions."
Xerox Corporation,"Our mission is to become change agents and innovators - using Xerox Lean Six Sigma to constantly search for a better way to meet our customers' challenges and to create business process outsourcing, IT solutions, new technologies, products and services for world class commercial and government clients that enable better results."
"The Manitowoc Company, Inc.","Our mission is to continuously improve economic value for our shareholders. The centerpiece of our efforts will continue to be high-quality, customer-focused products and support services. "
Peabody Energy Corporation,"Our mission is to create superior value for shareholders as the leading global supplier of coal, which enables economic prosperity and a better quality of life."
"CBRE Group, Inc.","Our mission is to deliver superior results for stakeholders by: Putting the client first -- always :: Collaborating across markets and services lines:: Thinking innovatively, but acting practically :: Providing a rewarding work environment."
"Williams-Sonoma, Inc.","OUR MISSION IS TO ENHANCE THE QUALITY OF OUR CUSTOMERS' LIVES AT HOME. WE PUT THE CUSTOMER AT THE CENTER OF EVERYTHING WE DO, EVERY DAY, AND A SHORT BUT IMPORTANT LIST OF CORPORATE VALUES GUIDES OUR ACTIONS AND DECISIONS."
"SunCoke Energy, Inc.","Our mission is to fuel our steel customers with coke, coal and power. We will grow our business globally, expand with current and new customers, and operate our assets efficiently and responsibly. "
UnitedHealth Group Incorporated,Our mission is to help people live healthier lives and to help make the health system work better for everyone. 
The Mosaic Company,"Our mission is to help the world grow the food it needs. As the world's largest supplier of phosphate and potash, we consider this mission to be a compelling one that carries vast responsibility."
"Rockwell Automation, Inc.","Our mission is to improve the standard of living for everyone by making the world more roductive and sustainable. Every day our products, services and solutions contribute directly to the quality of hundreds of items we all use  cars, food, drinks, personal care items, pharmaceuticals, and more. We help the manufacturers who produce these products create cleaner, safer and more energy-efficient operations. The raw materials they use come from the resource-based industries we serve including oil and gas, paper, metals, and water. And, our technology helps them ensure their products are reliable, affordable and available on demand."
Target Corporation,"Our mission is to make Target the preferred shopping destination for our guests by delivering outstanding value, continuous innovation and an exceptional guest experience by consistently fulfilling our Expect More. Pay Less.® brand promise."
"Cracker Barrel Old Country Store, Inc.","our mission is to please people. Nothing more. Nothing less. And if we do that, we have more than a fair chance of success. If everyone who walks in our front door gets a warm welcome and a good meal at a fair price. If they enjoy browsing through our old country store. If everyone who works with us or whom we do business with is treated fairly and with respect. If we do all those things, well, then we figure the business will take care of itself. And fortunately, so far, it has."
"L-3 Communications Holdings, Inc.","Our mission is to provide customers with state-of-the-art communication and telemetry solutions for space, ground and air applications."
"Coventry Health Care, Inc.","Our mission is to provide high quality care and services to our members and to be profitable in the process. Coventry Health Care is also committed to maintaining excellence, respect, and integrity in all aspects of our operations and our professional and business conduct. We strive to reflect the highest ethical standards in our relationships with members, providers, and shareholders."
"Lowe's Companies, Inc.",Our mission is to provide impactful support to local communities. We've stepped up our efforts to help families and communities manage through challenging economic times.
Vulcan Materials Company,Our Mission is to provide quality products and services which consistently meet our customers’ expectations; to be responsible stewards with respect to the safety and environmental impact of our operations and products; and to earn superior returns for our shareholders.
The Southern Company,Our mission is to reflect that diversity in the suppliers that help energize our success.
"United Rentals, Inc.","Our mission is to: Provide our customers with exceptional service, quality equipment and supplies, professional training and assistance, and information technologies that help them succeed; Provide our employees with extraordinary challenges and fulfillment, and the opportunity to significantly enrich their careers;  Deliver superior returns to our shareholders by achieving strong and consistent financial performance."
U.S. Bancorp,Our mission statement captures the simple sentiment that drives our organization  we are working together for our customers and our communities.
"Avnet, Inc.","our mission to be your perfect supply chain partner rests on our ability to unite three strategic and complementary Avnet pillars using our years of supply chain solution experience: An unrivalled selection of products from renowned global suppliers ,State of the art warehousing and product transformation capabilities with Avnet Logistics Services, Information management that delivers better connectivity and transparency in the supply chain."
Jarden Corporation,"Our objective is to build a world-class consumer products company that enjoys leading positions in markets for branded consumer products. We will seek to achieve this objective by continuing our tradition of product innovation, new product introductions and providing the consumer with the experience and value they associate with our brands. We plan to leverage and expand our domestic and international distribution channels, increase brand awareness through co-branding and cross selling initiatives and pursue strategic acquisitions, all while driving margin improvement."
"C. H. Robinson Worldwide, Inc.","Our people, processes, and technology improve the world's transportation and supply chains, delivering exceptional value to our customers and suppliers. "
"Boston Properties, Inc.",Our primary business objective is to maximize the return on investment in an effort to provide our stockholders with the greatest possible total return.
"Plains All American Pipeline, L.P.","Our principal business strategy is to efficiently and competitively provide services to our customers, while capitalizing on the regional crude oil supply and demand imbalances that exist in the United States and Canada by combining the strategic location and distinctive capabilities of our transportation and terminalling assets with our extensive marketing and distribution expertise to generate sustainable earnings and cash flow."
"Principal Financial Group, Inc.","Our purpose for being is to serve others by helping them plan for their financial future and to protect themselves against the inevitability of death, disability, and old age. Our mission is to offer relevant, goal-oriented advice and to implement financial strategies designed to help you protect and accumulate your assets. Our accomplishment of these depends upon our building lifetime client relationships with people who share the same purpose and mission for their lives."
Guardian Life Ins. Co. of America,"Our purpose is to enrich the lives of people we touch. By providing highest performing financial products and services that reduce risk and increase assets, we help individuals and employers fulfill their responsibilities and build better tomorrows. Our culture is based on an unwavering belief in integrity and fair dealings, treating our clients and each other with dignity and respect... We meet the needs of the markets we serve... We strive for excellence... We take prudent risks and work together to assure our success and profitability in the future... We work hard to enhance continuously our reputation for accessibility, professionalism, performance, and the depth and quality of our long-term consultative relationships with clients... We endeavor to be valued as an industry leader in client satisfaction, sales growth, product performance, financial strength and profitability."
SPX Corporation,"Our strategy is to create market advantages through technology, service and product leadership, by expanding our market focus to offer full customer solutions. Our business strategy is focused on an integrated leadership process that aligns performance measurement, decision support, compensation and communication."
Northrop Grumman Corporation,"Our vision is to be the most trusted provider of systems and technologies that ensure the security and freedom of our nation and its allies. As the technology leader, we will define the future of defensefrom undersea to outer space, and in cyberspace. We will — 1. Conduct ourselves with integrity and live our Company Values 2. Deliver superior program performance 3. Foster an internal environment of innovation, collaboration, and trust."
"Host Hotels & Resorts, Inc.","Our vision is to be the premier lodging real estate company. We create value through aggressive asset management and disciplined capital allocation.We strive to be Best in Class by maintaining the best assets, best hotel management and operators and best earnings and dividend growth."
Owens Corning,"Owens Corning is a company with an unwavering commitment to delivering solutions, transforming markets and enhancing lives. It’s who we are. It’s why we are here. We do it by fully engaging our employees in support of growing our customer’s businesses. And when we do, we grow ours as well."
PACCAR Inc,"PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. It also provides financial services and information technology and distributes truck parts related to its principal business."
Parker-Hannifin Corporation,"Parker Hannifin Corporation is the world's leading diversified manufacturer of motion and control technologies, providing systematic, precision-engineered solutions for a wide variety of commercial, mobile, industrial and aerospace markets."
"SAIC, Inc.",People dedicated to delivering best-value services and solutions based on innovative applications of science and technology.
Newfield Exploration Company,"People, passion and pride combine to power our future. With an entrepreneurial spirit, we work hard every day to find and produce oil, natural gas and related products safely, responsibly and profitably for the benefit of our stakeholders."
Pioneer Natural Resources Company,"Pioneer's mission is to deliver a highly competitive and sustainable rate of return to shareholders by responsibly finding and producing oil and gas resources to help meet the world's energy demands. We provide opportunities for growth and enrichment to our employees, our business partners and the communities in which we operate.    "
"Express, Inc.",Place where all of our Associates are encouraged to make the most of their individual talents and perspectives. But we also find strength and achieve great success through the mission and values we share collectively. These ideals include: 1. Begin and En
"PPG Industries, Inc.","PPG Industries is a leader in its markets; is a streamlined, efficient manufacturer; and operates on the leading edge of new technologies and solutions."
PPL Corporation,"PPL has adopted an integrated corporate strategy to generate and sell competitively priced energy in key U.S. markets and operate high-quality energy delivery businesses in selected regions around the world. We are accomplishing these objectives by expanding the reach of the basic approach that has made us one of most successful electric companies in the United States  a focus on excellence in operations, financial discipline and outstanding customer relationships. "
Weyerhaeuser Company,"Produce superior returns for our shareholders by focusing on our customers and safely growing and harvesting trees, manufacturing and selling forest products, and building and selling homes."
The Walt Disney Company,Producing unparalleled entertainment experiences based on its rich legacy of quality creative content and exceptional storytelling.
AGCO Corporation,"Profitable growth through superior customer service, innovation, quality and commitment."
"ProLogis, Inc.","Prologis aspires to be the leading global company in the real estate industry as measured by customer service, employee engagement and financial strength."
Fifth Third Bancorp,Proudly providing banking services for 5.8 million customers. We understand that earning your trust is key to our financial strength.
"CA, Inc.","Provide a safe, sustainable, integrated and efficient transportation system to enhance Californias economy and livability."
Convergys Corporation,Provide Customer Relationship Management software and services that create valuable relationships between our clients and their customers.
"Integrys Energy Group, Inc.",Provide Customers with the Best Value in Energy and Related Services.
3M Company,"Provide investors an attractive return through sustained, quality growth; Satisfy customers with superior quality, value and service; Respect our social and physical environment; Be a company employees are proud to be part of."
"Vishay Intertechnology, Inc.","Provide Our Customers With: A single manufacturing source (one-stop-shopping) for discrete semiconductors and passive components, Quality state-of-the-art products Superior customer service worldwide. Provide Our Suppliers With: Reliable long-term relationships,Provide Our Stockholders With: A commitment to driving stockholder value, while at the same time maintaining a prudent capital structure Provide Our Employees With:Responsible and ethical leadership A creative working environment Responsible community membership at all Vishay locations Environmental Health and Safety: Promote sound environmental health and safety principles and practices by encouraging open communication with employees, governmental agencies, suppliers, contractors, customers, and industry groups."
Cooper-Standard Holdings Inc.,"Provide outstanding service, support and innovative solutions to our customers benefiting all stakeholders of Cooper Standard."
"Key Energy Services, Inc.",Provide reliable and safe energy with excellent customer service at the lowest reasonable cost.
Avaya Inc.,Provide the world's best communications solutions that enable businesses to excel.
AGL Resources Inc.,"Provide value and peace of mind to our customers around the reliability and maintenance of their home appliances, pipes, and wiring."
"MDU Resources Group, Inc.",Provide value-added natural resource products and related services that exceed customer expectations.
"Westar Energy, Inc.","Provides safe, reliable, high quality electric energy service at a reasonable cost to all customers."
New Jersey Resources Corporation,"Providing safe, reliable, clean and affordable energy services. And, meeting our customers expectations is something we never stop working to achieve. "
