slnum,sent,label
247," ""For some time now, we've been pursuing interactive technologies that can deliver unique consumer benefits, including the ability to customize beverages.",1
248," ""For the full year, non-GAAP diluted earnings per share was $3.56, which is at the high end of the $3.40 to $3.60 outlook we've provided at our security analyst meeting in 2012.",0
249," ""For the last few years, we've benefited from cost-saving initiatives in several areas, including warehouse and infrastructure, freight and utilities among others, and our cost savings also reflect the positive impact of our investments in technology over the last several years.",1
250," ""For the nine subsequent wells where Atlas Energy employed it's new developed advanced drilling, completion and production techniques.",1
251," ""For these reasons, we have made the decision to suspend our Utica test program and focus our efforts on Marcellus development as we integrate the assets we've acquired over the past 1.5 years.",1
252," ""For those companies, digital transformation isn't a buzzword, it's a complete strategic imperative.",0
253," ""For those who have not had the opportunity to meet him, Charlie, in his most recent role, led the design team behind the development of X1 and he spearheaded the company's initiative to deliver a consistent user experience across platforms.",1
254," ""Forward-looking statements are subject to factors that may cause our results and plans to differ from those expected, including decisions of regulatory authorities regarding approval or limitations on the marketing of Soliris for various indications; the possibility that results of clinical trials are not predictive of the safety and efficacy of Soliris in broader patient population in the disease studied or in other diseases; the risk that third parties won't agree to license any necessary intellectual property to us on reasonable terms or at all; the possibility that initial results of commercialization are not predictive of future results; the risk that third-party payors will not continue to reimburse for the use of Soliris at acceptable rates or at all; and a variety of other risks set forth from time to time in our filings with the SEC, including our 10- Q for the quarter ended September 30, 2010.",1
255," ""Free cash flow for the first 9 months of 2013 was $63.4 million, down 2.3% from the same period last year due to incremental technology investments, as we've previously discussed.",0
256," ""From a franchise perspective, we continue to grow our newly developed markets of Mexico and India, and are quite pleased with the receptivity of the Claire's brand in both of those markets.",1
257," ""From a product perspective, we're delivering innovative, reliable and relevant digital solutions that demonstrates MoneyGram's commitment to being a financial technology company that best understands and satisfies our money transfer customers.",1
258," ""From a segment perspective, casualty posted $16 million of favorable prior year's reserve development, while casualty posted -- while surety posted $3 million favorable.",0
259," ""From an innovation viewpoint we've enhanced our Gesture Suite, introduced Scrybe Gestural Workflows (sic) Scrybe Gesture Workflows and ClickPad; all of which are intended to enhance the way users interact with their electronic devices.",1
260," ""Further, we've hired a number of OpenStack engineers, overlaid sales people and consultants that we believe will drive further innovation and adoption of these exciting new-technologies.",1
261," ""Gene-editing remains largely unproven in human studies, but it's power and research is unquestioned.",0
262," ""Given the fact that the markets, women's healthcare and soft contact lenses, are so much less developed outside the U.S., and we generate a considerable amount of cash outside the U.S. due in part to our level of manufacturing outside the U.S. We will continue to aggressively invest in global expansion opportunities.""",0
263," ""Green Dot's multi-award winning product suite, its superior technology, its highly respected bank charter, its leading brand name and in its strong reputation with consumer advocates and other key stakeholders is why we've been winning deal after deal over our competitors.",1
264," ""He has been charged with rapid development of our pipeline, and he's very busy with many ideas already in the lab.",1
265," ""He will continue to report to me with primary responsibility for managing and developing the company's key strategic relationships.",0
266," ""Here's why: First, let's remember that international new-unit-development will remain a key driver of our growth.",1
267," ""He's developed and mentored a number of the senior leaders in the company today, and he's provided much guidance and counsel to me as I transition to Harris as CEO.""",0
268," ""His legacy is visible to all as you travel our nation's highways and walk the hallways with our next generation of innovators and leaders.",1
269," ""Hitting the road this quarter in North America, for example, is Audi's TT sports car, which features a full digital dashboard power by Tegra.""",0
270," ""However, despite TA's technological and market leading market positions, the next couple of quarters are likely to be challenging given the poor outlook for the global economy and the tough comparison to strong sales in 2008.",1
271," ""However, I want to emphasize that while our customers are expressing concerns and are developing their own mitigation plans, we are not seeing any negative impact on their outlook for 2018 or '19 at this point.",0
272," ""However, looking back over the past year, the cash flow certainly was in line with the massive investments that we've made in people, facilities and technology to create new testing programs and solutions.""",1
273," ""However, we're committed to developing an increasingly competitive product portfolio in Spine.",1
274," ""HSN's digital sales grew 8% with the penetration increasing 170 basis points to 35%.",0
275," ""I also want to update you on the litigation involving the Sequenom '540 patent.",0
276," ""I believe we've only just begun to see the benefits of our combined sales coverage, technology platforms and product portfolios in Flow Technologies.",1
277," ""I believe, it's the new luxury in this age of mediocrity, age of technology.",1
278," ""I don't believe the R&D reductions will have a material effect on our ability to deliver on our product and technology development plans.""",1
279," ""I don't think that maybe the analysts and the journalists have fully understood some of the issues presented with me here on how you deal with them and the differences amongst all of the securities, although the level of knowledge seems to be increasing in some of the newspapers as I can tell but quality of writing has improved with respect to the facts.""",0
280," ""I guess, each quarter, I remind you that the non-comp -- the nonqualified per comp expense can skew the comparisons on linked quarter or any prior year period, so for the first time, I've taken the step to actually break it out for you, so you can see how much of the to make it easier to do the analysis period-to-period.",0
281," ""I hope you can see that we're investing in and innovating around all parts of our business.""",1
282," ""I know Brian's skills and vision will be a great addition to the technology expertise we already have on staff.",1
283," ""I mentioned in last quarter's call that sustainability has become a key theme for many of our investments in innovation.",1
284," ""I think one of the things that's really showing up in the last 1.5 years at Neptune is the software experience we've had in our other businesses, we've been able to sort of virtually add to Neptune's capability in that arena and help guide them in terms of all the development things that they're doing, which are quite exciting as they build new-technologies in Atlanta and have the plant focusing on what it does best, its foundry.",1
285," ""I was in Australia in recent days, and it's patent that there is an renewed vigor, creativity and customer consciousness at the company.",0
286," ""IBM iX was an early mover in the digital space, and we've built a global network where clients can cocreate with us.",0
287," ""I'd like to begin this morning by asking Steve Hinchman, our Chief Operating Officer, to discuss our operations, development status of our Permian Basin assets and then our Haynesville Shale play, as well as review our operations for the second quarter of 2010.",0
288," ""I'd like to encourage our leaders to do so, but the trend is certainly positive and looks to be a significant development for our industry and by the way, very significant for the steel industry.",0
289," ""I'd like to point out, as I was reading the morning mail and all the analyst reports, that there were some folks that saw our earnings maybe coming in a little short on the steel side from their respective projections and maybe a little north on the scrap side from their projections.",0
290," ""I'd like to reiterate that any actions taken will likely be very minimal in the areas of sales representation and in the area of research and development.",0
291," ""If those were standalone groups, they would be among the world's largest digital agencies in their respective disciplines.",0
292," ""If you turn to Slide 10, you'll note that the adjacent market growth, innovation and continuously improving customer service scores are generating strong rental demand.",1
293," ""I'll now turn the call over to Chris to discuss our clinical development activities.",0
294," ""I'll now turn the call over to Steve, who will speak to some of the new-technology initiatives we have underway.",1
295," ""I'll start by examining the progress and activities around the 3 initiatives, with the first one being our focus to capture new-and-develop existing customers.",1
296," ""I'll wrap up by sharing our operating principles for 2012, and update you on our innovation pipeline.",1
297," ""I'm also pleased to report that Virtusa continues to be recognized by key industry research firms for the strength of our thought leadership and services.",0
298," ""I'm also pleased with new customer acquisition in Q3, which continued to ramp nicely, driven by good fundamentals and customer demand generation, reorders, overall channel activity and technical services growth.""",1
299," ""I'm encouraged by these new, innovative products, an expanded customer list and new industry-leading partners that will allow us to meet the critical security needs of the marketplace.",1
300," ""I'm excited about our Q2 achievements and look forward to sharing more progress with you later this year on upcoming product features and milestones, customer wins and further TiVo innovation.",1
301," ""I'm excited about the opportunities to lower the cost of goods sold, further improve the quality of products and accelerate the speed at which we can bring innovation to the market.",1
302," ""I'm excited to have recently joined Radius and to have the opportunity to lead the development of our portfolio of R&D programs in osteoporosis and oncology, which you will see on Slide 15.""",1
303," ""I'm happy to tell you that we're in the process of placing our first early access to system from the partnership with an international and recognized researcher at a leading teaching hospital in the United States.",1
304," ""I'm pleased that our digital transformation is well underway.",0
305," ""I'm proud that as we begun development in our new Glasscock County, our first 3 wells reached TD faster than offset operators.""",0
306," ""I'm sure you'll find Mike to be a great resource for your investment research on ADI.""",0
307," ""Importantly, as Dave mentioned earlier, the U.S. Court of Appeals for the Federal Court -- Federal Circuit upheld the District Court ruling that the Alimta vitamin regimen patent is valid and would be infringed by the generic challenger's proposed product.",0
308," ""In 2 weeks, we'll be hosting Summit, our annual digital experience conference that brings together the world's biggest brands, agencies, consulting firms and media companies.",1
309," ""In 2014, we'll use the great momentum from last year's incredible product launches and continue to drive newness, innovation and performance into our line.",1
310," ""In addition to end-to-end BPaaS solutions in health care, we're also winning in digital.",1
311," ""In addition to her role in support of the leadership team, she'll also work extensively with Keith and the corporate development team on the identification and integration of acquisitions and partnerships in digital marketing.",0
312," ""In addition to steady improvements at Wassa, we are also pleased to see La Mancha's $126 million strategic investment in Golden Star has been primarily earmarked for further exploration, development and expansion at Wassa.",1
313," ""In addition to the clinical progress that we've made here at Sangamo, our partners Sigma Aldrich and Dow AgroSciences have also announced exciting developments in the use of our ZFN technology in their respective areas.",1
314," ""In addition, I'm confident that Voyager scientific expertise, coupled with Neurocrine's clinical development, regulatory and commercial capabilities will result in the effective advancement of these programs over the coming years.",1
315," ""In addition, the year-over-year comparison reflects approximately $5 million of revenue recorded in last year's Q2 for digital cinema product that had reached DCI compliance, and there is no similar occurrence in this year's Q2.",0
316," ""In addition, volume increases in our logistics and sourcing reporting units and net sales from Precision Dialogue's data analytics services offerings also benefited the current quarter.",0
317," ""In addition, we continue to pursue development of solar, wind and storage projects in Canada, including the submission of development projects this September into the Ontario Power Authority's new RFP process, which also represents a potential upside to our current forecast.",1
318," ""In addition, we're always investing in innovation, expanding our security data analytics platform, and the launch of the Automation Engine, which Yaki discussed earlier, is a great example of this.""",1
319," ""In addition, we're entitled to receive single-digit royalties on sales of ADCs that use our technology, and 3 collaborator ADCs are now in registrational trials.",1
320," ""In addition, we're introducing a multi-label slide scanner for research pathology, called the Lamina, that leverages our proprietary technology to reduce auto-fluorescence and improves the visualization of disease marker expression.",1
321," ""In addition, we're leveraging the sophisticated intellectual property we developed in the ultra-low refrigeration domain to enhance performance and add value in our conventional refrigeration portfolio.",1
322," ""In analyzing the data, we measured the performance of our current product portfolio, ranging from legacy pickles, the newly acquired powdered beverages, over the five years since our company's inception.",1
323," ""In biopsy, we're progressing on schedule with the development of our new SENOMARK Ultra breast biopsy marker.",1
324," ""In closing, 2019 marks Acacia's 10th year anniversary and I am proud of the achievements of our team over the past 10 years and value the customer relationships that we have developed.",0
325," ""In combination with our technology partners, we help create identity awareness across our customers' IT environments by integrating with a broad range of enterprise software and security solutions such as access management, security information and event management, privileged access management, IT service management and others to provide and share valuable identity-related insights.",1
326," ""In coordination with their local hospitals and physician partners, they've developed specialized services to meet targeted patient needs.""",0
327," ""In Engineered Materials, demand for high-performing composite technology continues in the aerospace market, and we're experiencing good sequential growth related to both legacy and new program build rates in the commercial aerospace sector.",1
328," ""In fact, every PEGylated molecule that has been approved for marketing in the past 14 years has originated from Nektar's technology.",1
329," ""In fact, Forbes Magazine just recognized that by naming us as one of the world's 100 most innovative companies.",1
330," ""In fact, many of the team leaders met right after the holidays in mid-January to begin to develop the trip framework for holiday '16.""",0
331," ""In fiscal 2019, we're launching a strong pipeline of new-innovative products with enhanced distribution, meaningful in-store support and we expect to gain more market share here as we go forward.",1
332," ""In hematology, we're encouraged by early customer feedback on our new DxH 900 high-volume analyzer and the DxH 520 for low to mid-volume settings.",0
333," ""In Industrial Biosciences, we're building transformational new businesses, leveraging our world-leading biotechnology capability.",1
334," ""In June of last year, Glaxo Smith Kline, or GSK, filed petitions for interparty's review of 6 FibroGen U.S. patents.",0
335," ""In May, we announced that Larry Kramer, a journalist and digital media pioneer, now leads USA TODAY, and he's just brought in Dave Callaway as editor-in- chief.",0
336," ""In May, we announced the decision to invest over $100 million to build a commercial demonstration plant near LaBarge, Wyoming or ExxonMobil's Controlled Freeze Zone technology to significantly reduce the cost of our moving and sequestering carbon dioxide and hydrogen sulfide for natural gas.",1
337," ""In North America, I'm encouraged that innovations are helping grow our brands like Poise, Depend, U by Kotex, Viva and Huggies Baby Wipes.",1
338," ""In one other important development related to opportunity expansion, for some time now, we've had our sights set on China and the tremendous potential to be part of the sample management solutions for some of the larger studies the world will know.",1
339," ""In our segment, we've seen one claims management firm cease the ongoing development of their own long-standing software and moved to lease software.",0
340," ""In our U.S. retail business, it's all about this continuing excellent execution of our 3D demand driving programs with breakthrough advertising, collaborating with our retail customers to win at the shelf and, then of course, continuing to accelerate innovation to build our brands and categories.",1
341," ""In parallel with the investments we're making in exenatide once weekly product presentations, we continue to leverage the potency of exenatide by developing non-injectable delivery options.",0
342," ""In Q1, we closed the deal with an Asian telecommunications company to design and analyze the 5G networks they're building.",0
343," ""In response to this growing trend, we've expanded our digital playbook to include more online product exclusives, user-friendly site enhancements and a more holistic approach to omni-channel marketing, again, to drive traffic across all channels.",0
344," ""In specialty pharma, R&D had another 8 submissions in major markets as part of 30 late-stage program we're running, while our NTE approach yield 14 projects entering our development pipeline.",1
345," ""In spite of this difficult environment, Atheros' has continued developing new and innovative products such as dual- band, dual-concurrent routers to address high-end networking needs while also continuing our relentless focus on costing down existing solutions to improve design and platform integration.",1
346," ""In summarizing, let me say that Mannkind is continuing its development of Technosphere Insulin that we are in course to file our NDA that we have not to-date seen any reason to be concerned about safety or efficacy of these products that the issues with EXUBERA may have led to certain hasty and I believe in accurate perceptions that personally none of EXURBERA problems have been seen with Technosphere Insulin, that we believe Technosphere Insulin is the most effective means to control prandial glucose excursions, that prandial excursions must be controlled if we hope to safely bring most diabetes patients to a normal A1c's.""",1
347," ""In summary, we are committed to possible growth in Williams-Sonoma, and we'll serve our customer through product innovation, marketing and channel excellence.",1
348," ""In terms of Taco Cabana, we'll opportunistically develop this concept in Texas while testing our new Cabana Grill outside of Texas.",0
349," ""In the DJ Basin, we've already experienced the significant value uplift that a large-scale systematic development approach can bring in terms of maximizing recoveries, lowering capital and operating costs and minimizing the aboveground impacts.",1
350," ""In the first quarter of '09, we sold the assets and IP of SolMap Pharmaceuticals, a bio technology venture.",1
351," ""In the fourth quarter of 2012, we've had no adverse development reported.",0
352," ""In the future, we may make additional payments to those shareholders contingent on a meeting of various development and regulatory milestones related both the lead compound in Avila's pipeline, AVL-292, and to future compounds that may come out of Avila's technology platform.",1
353," ""In the last 24 months, we've assembled a great set of quality and security technologies.",1
354," ""In the quarter, we launched the x500R, the first model within our X-Series product family, which was the SCIEX team's largest ever development project.",1
355," ""In the South Ellwood field, we've been reevaluating the political environment in California very carefully as relates to our full-field development project.",0
356," ""In the table at the top right of Page 18, we've provided some additional analysis, and hopefully some additional insight into the underlying sales performance of this part of the business.""",0
357," ""In the U.S., the recent announcement by Pilot Flying J, the largest truck fueling center operator in the U.S. to begin offering CNG and LNG fueling facilities is a very positive infrastructure development here in the U.S. We're excited about potential new LNG opportunities including marine and mining applications to displace diesel for trucks and stationary equipment operating in those markets.""",1
358," ""In these emerging applications, along with others in our development funnel, we are working with the world's leading customers to develop the required electrical test and measurement technologies.",1
359," ""In total, we're excited about the additional content opportunities that are available to us now and are coming into focus this fiscal year with the products and technology that we already have in our portfolio.",1
360," ""Included in the current quarter's results is recognition of the continuing favorable claims development for prior policy years.",0
361," ""Including these studies, our clinical development teams and partners have delivered more than 10 positive Phase III trials for our commercial and investigational medicines across multiple sclerosis, Behcet's disease, multiple myeloma, lymphoma, MDS, beta-thalassemia and breast and lung cancer, all in the last 12 months.",1
362," ""Innovative product is essential to the evolution of Fisher-Price, and we're developing compelling products and features that uniquely answer the wants and needs of millennial parents.",1
363," ""Instead, we plan to expand it, and we're going -- and we are directing our investments to proven areas of ROI: technology innovation, demand generation, sales capability and capacity expansion.",1
364," ""Interest by technology writers across the country far exceeded our expectations and reinforced our belief that we're on the right path here.",1
365," ""International's net written premiums were up 13% with growth coming from CNA Hardy's relatively new health care and technology business and its well-established energy and marine specialisms as well as broadly across our Canadian business.""",1
366," ""Israel has an incredible community of outstanding world-class technology talent, and we're building a strong product and tech hub there with more than 125 employees to date.",1
367," ""It does historically tend to go on those sort of patterns, unfortunately, and they are not predictable what the patterns are precisely as customers make decisions to clean up programs, sometimes you have seen acceleration and then it comes back to normal, and we've seen that pattern and we seam to be setback to a normal patent now we believe.",1
368," ""It is important to understand that while our efforts to improve brand building and innovation are broad- based, the volume declines we're experiencing are largely concentrated within brands that historically targeted the price-focused consumer and heavily relied on deep discounts and promotion to drive volume.",1
369," ""It is supporting the state's economic development and job creation agenda.",0
370," ""It's a great digital transformation story and a significant, significant expansion for us here in Q4.",0
371," ""It's a wonderful addition to our Drilling Systems platform that brings a talented team of professionals and high performance drilling technology that will allow Cameron to target a broader envelope to equipment and services to the offshore rig markets.",1
372," ""It's also a great example of the efficiency of antisense technology.",1
373," ""It's also worth noting that new-products aren’t the only form of innovation that drives growth and profit.",1
374," ""It's an impressive list of accomplishments, including improvements in all of our key performance metrics, executing contracts to realize over $1 billion of equity value in our Retail portfolio; gross dispositions of $650 million of noncore assets; opening 9 new assets in core markets at or above pro forma returns; and near doubling of the dividend with expectations of additional growth to come; a full turn of improvement in our net debt ratio; 370 basis points of margin improvement; significantly reduced development risk; lower overhead expense; and many governance enhancements I mentioned earlier, including the collapse of A, B share structure.""",1
375," ""It's been a long journey to get to this point, but we are finally here and I'm very, very pleased with our offering and our commitment to open architecture that is so well connected with our digital practice management platform and related clinical workstation that we offer to our customers.",1
376," ""It's been a very challenging 18 months but our employees and our supply line partners have shown great adaptability and innovation in gearing us for the future.",1
377," ""It's been encouraging to see the FarmVille brand develop on mobile over the last 6 months.",1
378," ""It's built for people who want to connect with their digital life and all of their content wherever they are with any device.",0
379," ""It's called Build for Change, and it's about revolutionizing customer engagement through continuous digital innovation.",1
380," ""It's clear the industry sees the AluSalt technology as a novel solution to manage and efficiently extract value from critical byproducts, reduce waste and improve operating productivity.",1
381," ""It's important to note that the strength of our patent has been publicly acknowledged, and I continue to feel very positive about our PD-1 and our PD-L1 patent estate.",0
382," ""It's important to understand that a significant driver of our increased R&D expense compared to last year is simply the result of a smaller percentage of our investments and development being capitalized compared to 1 year ago.",0
383," ""It's now managing all worldwide commercial operations and clinical development related to ZEVALIN.",0
384," ""It's one of the most extraordinarily creative and innovative projects in the history of our company, which makes it a perfect way to firmly establish Disney in the hearts and minds of the people of China as well as an attractive and profitable place to deploy our capital for the long term.",1
385," ""It's really about the relationship that we've built with these athletes, because they provide us with great insight to help us innovate our products to meet the demands and rigor of a game that's so fast-paced today.",1
386," ""It's the idea that you can deliver both rapid innovation and high quality without sacrificing one for the other.",1
387," ""It's the new-innovations in the pipeline that Mark referred to that are giving us more confidence as we look towards the future.",1
388," ""I've enjoyed the interaction and relationships developed with our analysts and shareholders over the years.""",0
389," ""I've often spoken about our Protoworks initiatives and wanted to let you know that both of our metal molding development projects are making steady progress.",1
390," ""I've spent the past decade focused on driving efficiencies and unconventional reservoir development across multiple plays.",0
391," ""I've talked to a lot of the sell side analysts.",0
392," ""KFC's commitment to smart value, innovation, menu and dayparts and leadership in digital and delivery have created a resilient business model that's geared to growth.",1
393," ""Kichler integration is going well, and I'm pleased to announce that Kichler recently received recognition for its product innovation, receiving 4 ADEX awards for superior innovation, design and aesthetics, highlighting Kichler's fit with Masco and our focus on brand innovation and service.",1
394," ""Knowing exactly what properties are available in each market under what market conditions and being able to forecast which direction the market is heading are the primary reasons our customers rely on CoStar's information and analytics.",1
395," ""Kroger will leverage a broad area of Mastercard's products and solutions, including data analytics, fraud tools and digital services.",1
396," ""Last month, we introduced new intelligent location marketing features, allowing companies to reach their customers with targeted content based on a user's proximity to iBeacons.",1
397," ""Last thing is our service technicians have been installing broadband for us or U-verse for us, but they haven't been installing DIRECTV.",1
398," ""Last year, we entered into a licensing agreement with Boehringer Ingelheim, which allowed us to combine BI's patent estate and compounds on non-catalytic site inhibitors for HIV with our internal research programs.",0
399," ""Later in the month, I joined a senior Pfizer leader to share some perspective on Valor, our collaboration and Corning's long track record of co-innovation.",1
400," ""Layered Insight based in the Bay Area, is a pioneer and global leader in container native application protection, providing accurate insight into containers' images, adaptive analysis of running containers and automated enforcement of the container environment.",1
401," ""Let me start by discussing our LNG projects, where we believe we're well positioned to help meet the world's growing natural gas demand with Cameron and 3 other LNG development opportunities.",0
402," ""Let's turn to Slide 12 and quickly touch on the Midland Basin, where we continue to find ways to optimize our completion techniques.",0
403," ""Local dealers are the heart of the U.S. auto industry and while we're not a digital dealership, we are helping our dealers do digital.",0
404," ""Longer-term, I'm increasingly encouraged that Infinera will continue to demonstrate strong performance based on our technology and architectural leadership and the necessity of transport playing a more strategic role in the networks of the future.",1
405," ""Looking at our proved developed reserve costs, we've excluded cost incurred for out-of-period bookings.",0
406," ""Looking forward, we are currently on various development contracts in support of the DoD's next- generation CREW programs, most notably, the CREW 3.2 and 3.3.",1
407," ""Looking forward, we remain encouraged by our ability to execute price increases in key markets as well as our investments in RenewLife, particularly in Canada, Burt's Bees in Asia, e-commerce and innovation in our Laundry business across Latin America and in the Middle East.",1
408," ""Looking further into the pipeline, we've developed a fully human antibody that is a potent neutralizer of IL-21, poised to be the next IND candidate to enter Phase I.""",1
409," ""Looking specifically at this category, growth drivers included new regulatory requirements by China's Food and Drug Administration, which focus on increasing analytical rigor across key workflows to assure consistency of results and integrity of archived data.",1
410," ""Madewell's performance was driven by continued strength in stores and outsized growth in digital, which was fueled by our enhanced digital marketing strategy.",1
411," ""Management remains intensely focused on executing on our strategy to continue building value for Aegerion's shareholders through our mission of developing and commercializing products that treat patients with rare diseases.""",0
412," ""Matt covered digital innovation, so I'll take food and beverage innovation and our progress on improving throughput.",1
413," ""Mike's extensive experience and innovative selling strategies will be instrumental as we continue to develop our sales capabilities and strengthen our market position as a fully commercial specialty company.",1
414," ""Mohawk's commitment to product innovation, resource management and productivity improvements yielded improved second quarter results.",1
415," ""More recently, we also announced that Auxilium and Sobi have entered into a long-term collaboration for the development, supply and commercialization of XIAPEX for the treatment of Dupuytren's contracture and potential treatment of Peyronie's disease if approved in the 71 Eurasian and African countries.",1
416," ""More specific to the technology side of the integration, we're focused on migrating the European systems to our global authorization clearing and settlement systems as well as deploying our global data platform and other corporate systems into Europe.",1
417," ""More than 1/2 of the world's existing coal reserves consists of low-rank coal, such as lignite and sub-bituminous coal, the very types of fuel that TRIG was developed to utilize.",0
418," ""Moreover, we're confident our technological leadership and the investments we've made in manufacturing capacity globally will serve us well as various regions and countries continue to shift to more stringent regulatory standards.",0
419," ""Most importantly, we're attaching services wherever possible, including in-store and in-home setup and installation services using the thousands of trained and certified CompuCom service technicians.",1
420," ""Moving on to non-cat loss ratio results, let's first address prior year development.",0
421," ""Moving to the Scorpion, the program is gaining momentum, as we have begun the U.S. DoD accreditation process, with this week's signing of a cooperative research and development agreement with the United States Air Force.""",1
422," ""MTI's heritage was built on a foundation of solving customer problems through innovative uses of minerals.",1
423," ""MyoKardia's mission is what drew me to this company, to change the world for patients with serious cardiovascular disease through bold and innovative science.",1
424," ""Nearly all of that reduction was driven by revisions through our proved undeveloped reserves, which is a reflection of both the 52% increase in 2015's SEC price deck as compared to 2014's price deck as well as reduced activity levels being forecast during the SEC's 5-year forecast period.",0
425," ""Net 1's deep experience in offline payments, biometric authentication and our highly regarded cryptography applications for smart cards, point-of-sale devices and hardware security modules optimally positions our core UEPS solution in line with the global adoption of blockchain technology.",1
426," ""NetScout's technology leadership was built on leveraging IP-based intelligence to create smart data, and the acquisition of Danaher Communications business and other technology assets provide us with smart analytics across multiple dimensions to further extend our value proposition in service assurance, cybersecurity and, later this year, in Big Data.",1
427," ""Next month, we'll start to include registry in our digital marketing.",0
428," ""Note that cost cutting will not impact R&D, as management believes the ongoing investments in projects, including the converge TV, online platform, enhanced online analytics, in-stream video products and upgraded CRM systems, are critical to achieving the company's cross-platform strategy.",1
429," ""Now also this quarter, I'm pleased to report that we have added new leadership in a number of areas, including our new CMO, Ryan Cam, a longtime salesforce and app dynamics creative and digital marketing leader.",0
430," ""Now as we've discussed before, we've been making targeted investments in Japan, our Emerging Markets and Animal Health and more broadly in our remaining patent protected products.",0
431," ""Now I'd like to share a few examples of how our clients are leveraging our technology to drive transformational change in their clinical development organization.",1
432," ""Now if you look at the estimates from the 11 sell side analysts that cover BorgWarner from the auto industry plus CSM and JD Power's and this is as of April 27, and I don't think anyone changed the number since then.",0
433," ""Now I'll turn the call over to Ramesh for some more discussion on product innovations and operating results.",1
434," ""Now let me give you some insight into how we're deploying these additional dollars to strengthen our technology and product pipeline, especially in disruptive products, which are a key driver of future profitable growth.",1
435," ""Now let's move to our flagship analytic platform, Teradata Vantage.",1
436," ""Now let's take a closer look at our robust directed consumer digital advertising campaign.",0
437," ""Now we're also supporting the Federal Aviation Administration or FAA with high-end consulting and data analytics services needed to modernize our air traffic navigation systems, and we were just recently awarded a $356 million single-award contract to support the implementation and deployment of satellite and ground-based navigation technologies.",1
438," ""Now with regard to labeling, 1 of our 7 MegaTrends, we see the forthcoming requirements for tire labeling in Europe as another opportunity to demonstrate Goodyear's technological advantage.",1
439," ""Now, let's turn to a corporate view of the fourth quarter, looking at earnings per share variance analysis on Slide 5.",0
440," ""NuPCR is a novel probe-based technology that doesn't rely on exonuclease activity to generate signal.",1
441," ""Obviously, this is a fast-moving business and technology doesn't stand still.",1
442," ""On a full year basis, we've seen market depreciation reduce AUM in equity ETFs linked to our indexes by $110 billion, driven by a decline in the emerging and developed markets outside the U.S., while cash flows increased AUM by $62 billion.",0
443," ""On a year-to-date basis, favorable reserve development was primarily driven by 4 lines of business: workers' compensation, commercial auto, assumed reinsurance and other liability.",0
444," ""On January 30, the District Court of Delaware ruled in our favor and found all of the asserted claims in 4 of Teva's method-of-use patents invalid due to obviousness.",0
445," ""On Page 6, Triumph's focus for growth remains on our core areas where we can provide higher value and differentiated offerings to our customers through innovation and IP.",1
446," ""On the commercial side, strong order activity for the new 505 Jet Ranger X and the resumption of the 525 Relentless flight test program demonstrates Bell's position as an innovative leader in the commercial helicopter market.",1
447," ""On the commercial side, we've been through a part of the cycle where loss severity has been very high due to the nature and type of products involved, namely, commercial construction and residential development.",0
448," ""On the digital side, we've also been busy improving the guest experience.",1
449," ""On the mobile front, we're offering an attractive solution to mobile banking and wallet providers seeking ways to add value to their own mobile experiences by supporting digital gifting.",1
450," ""On the technology front, we've begun implementation of our new retail platform, Consumer-First or C1 in North America.",1
451," ""On today's call, I'm going to provide you with an overview of some of the innovations and strategic initiatives that we announced or that we began to shape in the quarter, innovations and initiatives that will enable us to further extend Starbucks' global coffee authority and leadership around all things retail and mobile and position us to continue to lead and to win around the world into the future.",1
452," ""On today's call, we will highlight specific achievements in clinical development, in research and in our corporate strategy, all emblematic of our evolution.",0
453," ""On top of all this, we're investing heavily for our future, investing in the areas of material sciences, additive manufacturing, automation and robotics, and various digital platforms, just to name a few.",1
454," ""Once the CoStar and PPR data is integrated, a client using Resolve's analysis price will be able to better analyze and understand how current and forecasted market conditions affect their portfolio.",1
455," ""Once we've established a vision for the future, we know how to design, prototype and scale digital experiences to reshape client's products and business models.",1
456," ""One part of the puzzle we're solving for is measuring the incremental reach the digital platforms bring to the table.",1
457," ""Orville Redenbacher's Pop Up Bowl is a great example of an innovation that's resonating with consumers.",1
458," ""Our ability to combine cutting-edge middleware technology with pre-built adapters for technologies like artificial intelligence and machine learning enable us to create hyper-personalized digital channels that can deliver a custom-tailored digital experience based on a user's preferences and interests.",1
459," ""Our analysis to date indicates that STAAR's capturing market share from laser vision correction and in China, our data indicates, we have more than tripled our market share from low-single-digits in 2016 to more than 10% at the end of Q3 of the current quarter.",0
460," ""Our customer-centric approach has guided our investments in technology and solutions within the past 5 years and we've achieved many advances which will serve us well going forward: organic revenue growth faster than the overall IT market; solid growth in operating margin; Concentrix becoming a growing part of our margin and cash flow profile; net income growing faster than revenue growth; and ROIC consistently higher than our weighted average cost of capital.",1
461," ""Our developers and owners appreciate Choice's well-segmented brands.",1
462," ""Our expansion of digital products and platforms built upon high-quality content that's worth paying for is essential to capturing value in all of our local markets.",1
463," ""Our focus is now on executing in FY '15 against 3 objectives that define a new EA: delivering amazing games and services to players around the world, driving innovation and creativity into new experiences and building deeper relationships with our community.",1
464," ""Our global clearing strategy is innovative and is exciting, and it's an initiative that all of us at ICE are involved in to ensure its success.",1
465," ""Our global focus on innovation is also clearly at play in China, where we are pleased with the progress of our first Heinz infant formula launch in the world's most populated nation.""",1
