	Mahou	Cruzcampo	Heineken	Estrella	San-Miguel	Carlsberg	Coronita	Amstel	Bud	Voll-Damm
A6_P1_496	1	5	9	1	10	9	6	4	3	1
A6_P3_497	10	1	10	5	9	8	7	3	6	10
A5_P4_498	5	1	5	5	1	5	1	5	5	1
A4_P8_499	10	10	10	10	10	10	10	10	1	10
A6_P1_500	4	6	10	5	6	1	10	8	10	1
A4_P8_501	9	9	9	7	1	5	9	7	4	8
A4_P2_502	10	3	7	1	1	1	1	1	1	1
A3_P7_503	7	7	1	8	9	7	8	7	7	8
A4_P2_504	9	1	9	1	1	5	6	1	1	1
A4_P8_505	10	5	8	5	5	5	5	5	5	10
A1_P8_506	5	5	5	5	5	5	5	5	1	5
A4_P2_507	10	8	10	8	5	10	10	1	2	1
A6_P3_508	1	1	10	1	9	1	1	1	1	1
A4_P2_509	6	5	8	5	5	8	8	5	5	1
A1_P5_510	1	1	6	9	1	1	4	1	1	10
A1_P8_511	1	1	1	1	1	6	1	6	1	10
A2_P3_512	7	1	3	8	10	4	1	9	5	2
A6_P9_513	7	10	10	3	10	4	10	6	6	8
A4_P2_514	10	8	8	6	8	8	8	7	8	6
A4_P7_515	10	5	7	9	5	8	10	10	7	10
A1_P5_516	8	1	9	10	1	1	7	1	1	1
A1_P1_517	1	1	2	1	4	3	5	1	1	1
A4_P6_518	10	3	7	4	4	5	3	6	1	1
A3_P2_519	8	6	1	4	6	10	8	1	8	7
A1_P1_520	1	1	7	10	10	7	8	1	10	1
A4_P7_521	9	10	8	10	9	8	7	9	7	10
A1_P9_522	1	10	8	10	8	4	9	1	1	1
A4_P2_523	9	5	7	1	1	5	6	1	2	1
A1_P9_524	6	8	8	8	8	8	8	8	8	5
A1_P3_525	7	7	6	7	10	5	3	7	7	7
A1_P4_526	6	5	9	7	4	8	10	5	9	8
A2_P4_527	1	5	9	1	1	5	10	10	6	1
A6_P3_528	5	6	9	5	8	5	5	5	5	5
A4_P2_529	9	1	3	1	5	1	10	1	1	9
A1_P5_530	1	1	9	10	6	1	5	5	1	1
A4_P2_531	8	1	8	1	1	1	9	1	8	1
A6_P1_532	5	1	10	6	10	10	8	1	7	1
A1_P7_533	6	5	6	6	6	6	1	6	6	6
A1_P5_534	1	7	1	10	7	1	5	7	1	10
A4_P2_535	10	1	6	1	5	3	3	1	1	1
A1_P8_536	1	1	1	1	1	1	1	1	1	6
A3_P9_537	1	10	7	1	1	7	8	1	1	5
A4_P2_538	10	1	10	1	1	1	10	1	1	1
A4_P6_539	5	5	6	6	7	5	1	5	1	5
A1_P5_540	1	1	10	10	6	5	10	1	8	6
A1_P1_541	2	5	10	6	8	8	10	9	2	2
A2_P6_542	6	6	5	6	6	4	1	6	1	1
A4_P6_543	6	9	8	2	10	5	4	7	1	3
A4_P2_544	10	1	7	1	1	5	1	1	7	3
A4_P7_545	10	7	1	7	1	1	6	1	6	7
A4_P7_546	9	4	1	7	1	1	3	2	3	10
A1_P1_547	1	1	7	3	1	1	10	1	10	8
A1_P5_548	7	6	8	8	5	5	8	5	10	10
A3_P9_549	7	10	5	5	7	4	10	6	3	2
A1_P7_550	5	1	1	8	8	1	1	1	1	8
A2_P6_551	9	5	3	8	9	3	1	9	1	1
A2_P1_552	4	1	8	1	1	1	10	1	10	1
A4_P2_553	10	1	5	1	1	7	8	1	8	1
A1_P5_554	1	1	1	10	1	1	10	1	1	1
A1_P5_555	5	5	7	7	5	5	7	5	6	6
A6_P5_556	1	1	8	7	1	4	4	1	1	8
A1_P5_557	4	3	10	10	1	3	4	4	3	10
A4_P2_558	8	4	5	1	1	5	6	1	5	5
A4_P2_559	6	6	8	1	6	1	6	1	5	1
A1_P1_560	1	1	7	1	6	6	7	1	7	7
A4_P7_561	10	1	7	6	4	6	1	4	1	5
A1_P7_562	8	1	8	9	1	1	1	1	1	9
A1_P1_563	1	1	10	1	1	1	10	1	8	1
A3_P1_564	5	1	10	5	10	10	10	5	5	1
A2_P1_565	1	1	9	1	5	9	7	1	1	1
A4_P2_566	4	1	1	1	1	4	4	1	1	1
A1_P7_567	9	1	8	10	1	1	1	1	1	7
A3_P2_568	10	5	9	1	1	7	10	1	5	5
A2_P8_569	1	1	10	1	1	1	1	1	1	10
A1_P5_570	1	1	8	9	4	5	7	1	1	7
A4_P3_571	6	1	7	1	10	1	8	1	1	1
A4_P7_572	2	4	1	3	1	1	1	1	3	3
A2_P2_573	5	5	5	1	1	1	5	1	1	1
A3_P3_574	7	6	8	1	8	7	5	8	5	6
A4_P3_575	10	5	9	8	8	9	4	8	9	8
A3_P9_576	1	9	3	1	6	1	7	1	1	1
A2_P3_577	8	1	1	6	10	3	1	9	1	2
A1_P5_578	6	1	5	7	8	1	10	1	8	9
A5_P1_579	7	6	10	5	8	9	9	6	9	8
A3_P1_580	1	7	10	1	2	2	10	5	7	1
A4_P9_581	8	8	1	1	7	7	10	7	1	1
A5_P9_582	1	7	1	1	1	8	1	1	1	1
A4_P2_583	8	8	1	1	1	8	9	1	1	1
A4_P4_584	8	6	10	1	1	10	10	1	8	8
A1_P4_585	5	6	9	5	3	5	9	6	8	2
A4_P2_586	8	1	9	1	9	9	8	1	6	1
A1_P4_587	1	1	10	4	3	10	1	6	8	10
A4_P8_588	10	5	5	5	6	5	10	6	2	10
A3_P6_589	10	10	5	10	10	5	1	10	1	1
A4_P6_590	10	9	6	5	9	9	3	8	5	3
A4_P7_591	9	1	1	1	4	1	1	1	3	8
A3_P6_592	9	9	9	2	9	9	9	3	1	1
A1_P5_593	1	1	1	8	1	7	9	1	1	1
A1_P9_594	6	8	1	6	10	1	8	1	1	9
A4_P6_595	10	9	8	1	9	1	8	8	1	1
A1_P5_596	1	1	7	8	8	1	7	1	1	9
A1_P5_597	3	1	1	10	1	1	4	1	1	4
A4_P7_598	10	1	1	1	7	1	3	7	7	8
A4_P2_599	9	6	10	3	4	2	8	7	1	5
A1_P7_600	10	8	6	10	10	4	1	3	1	7
A4_P4_601	10	7	8	1	1	10	1	3	9	9
A4_P2_602	9	1	6	1	1	1	6	1	1	1
A1_P9_603	6	10	5	10	10	7	10	1	5	6
A1_P5_604	1	9	8	10	1	1	9	1	8	8
A1_P7_605	8	7	6	9	7	6	6	7	3	7
A3_P9_606	5	10	8	4	4	6	6	3	5	1
A1_P5_607	1	1	9	6	1	1	1	1	1	2
A4_P9_608	1	10	7	7	1	6	9	8	1	1
A4_P4_609	4	1	8	9	1	8	1	7	8	6
A1_P5_610	1	1	10	10	1	1	10	1	1	10
A4_P2_611	10	1	10	1	1	1	1	1	1	1
A1_P5_612	1	1	8	9	1	1	1	1	1	6
A3_P9_613	8	10	1	1	1	1	7	1	1	1
A1_P7_614	10	5	5	10	10	4	5	10	1	5
A3_P9_615	1	10	1	1	1	6	8	1	1	1
A5_P2_616	10	1	1	1	1	1	10	10	10	10
A4_P4_617	7	1	8	1	1	9	1	1	1	1
A4_P4_618	5	1	8	1	1	5	3	1	5	1
A1_P8_619	1	1	1	1	5	1	7	9	1	8
A2_P1_620	1	1	5	1	1	1	10	1	1	5
A1_P1_621	1	1	1	1	1	1	7	1	8	10
A4_P2_622	10	4	10	3	5	5	8	6	6	2
A1_P5_623	1	8	1	9	9	1	9	1	1	9
A4_P8_624	8	1	8	1	3	8	3	4	1	8
A3_P1_625	5	4	10	5	10	9	10	5	7	6
A1_P5_626	5	5	7	10	9	7	6	7	5	10
A4_P2_627	7	1	9	1	1	1	10	1	8	1
A4_P2_628	8	1	5	1	1	1	3	1	4	1
A3_P8_629	1	10	7	1	1	7	2	1	1	8
A4_P2_630	8	5	8	5	6	5	8	6	8	8
A4_P1_631	6	6	7	6	6	6	7	6	7	7
A3_P6_632	7	10	9	1	1	1	1	1	1	1
A4_P2_633	10	1	7	1	1	9	1	1	1	1
A4_P7_634	8	1	1	1	1	1	1	1	1	10
A4_P7_635	10	10	7	8	7	9	1	1	7	9
A1_P7_636	10	10	5	10	10	5	5	5	1	8
A4_P7_637	9	7	1	1	1	1	6	1	1	8
A3_P4_638	8	8	10	8	8	10	8	8	8	8
A4_P4_639	9	1	9	5	1	8	6	7	8	6
A3_P5_640	9	1	9	7	1	1	8	9	8	9
A2_P2_641	10	5	10	5	9	5	10	9	10	5
A3_P9_642	1	8	6	1	1	1	6	1	1	1
A4_P6_643	9	9	10	1	1	8	1	1	1	1
A3_P9_644	1	10	9	1	1	1	10	1	1	1
A4_P4_645	9	1	10	1	1	1	1	1	10	1
A3_P9_646	9	10	9	1	9	1	10	1	1	1
A2_P4_647	5	5	10	5	5	10	9	5	8	8
A2_P1_648	1	2	5	1	6	3	8	1	10	4
A1_P7_649	10	9	7	10	10	7	6	10	7	10
A4_P2_650	10	1	10	1	7	8	8	9	6	8
A3_P7_651	10	1	1	10	7	1	1	1	1	1
A4_P2_652	10	8	5	1	1	1	8	1	1	1
A1_P4_653	1	1	10	1	1	10	10	1	10	1
A2_P6_654	8	10	10	9	7	10	5	9	6	5
A4_P2_655	9	8	7	1	2	1	9	2	1	1
A4_P6_656	8	7	6	7	7	6	4	7	6	1
A5_P2_657	9	5	10	7	10	10	10	5	5	5
A2_P8_658	1	1	9	1	1	1	1	9	1	9
A4_P4_659	10	10	10	5	5	10	10	10	10	5
A4_P7_660	10	1	1	1	1	1	1	6	1	1
A4_P3_661	3	1	3	1	8	1	1	1	1	1
A3_P3_662	9	4	6	5	6	1	2	1	6	1
A1_P5_663	1	1	7	7	1	1	4	1	6	6
A1_P5_664	5	5	8	8	5	6	7	5	5	8
A1_P5_665	1	1	1	8	1	1	1	1	1	10
A1_P9_666	1	8	1	1	1	3	5	1	5	1
A4_P7_667	9	5	5	6	8	2	1	8	1	10
A1_P6_668	7	9	7	8	8	7	1	8	1	1
A2_P6_669	7	6	8	4	8	4	1	8	1	1
A1_P1_670	4	6	8	6	7	7	8	3	8	6
A6_P9_671	7	10	10	7	1	1	10	1	1	1
A3_P6_672	10	10	8	4	10	8	2	8	2	2
A1_P5_673	3	4	8	9	2	7	6	1	5	10
A3_P9_674	7	8	5	1	6	4	4	1	1	5
A4_P3_675	10	1	6	1	8	8	1	1	7	1
A1_P5_676	1	1	10	10	1	1	1	1	10	1
A3_P3_677	8	1	1	1	10	1	1	8	1	1
A1_P5_678	2	2	10	9	8	2	2	2	10	10
A1_P7_679	5	5	4	9	5	1	1	1	1	10
A4_P2_680	9	8	7	6	6	7	6	6	9	6
A1_P5_681	1	1	4	10	7	3	6	4	9	10
A1_P5_682	1	1	1	10	1	10	1	1	1	1
A2_P3_683	3	1	5	1	6	3	4	2	1	2
A2_P7_684	10	7	6	1	1	1	1	9	1	8
A4_P4_685	6	1	7	1	1	5	7	1	10	1
A4_P7_686	10	1	1	1	1	1	1	1	7	7
A3_P4_687	1	1	10	1	1	1	1	1	1	1
A1_P2_688	7	6	7	6	6	4	8	1	1	1
A3_P9_689	8	10	1	1	10	1	1	2	1	1
A1_P5_690	8	7	10	10	10	6	10	8	7	10
A1_P5_691	5	3	5	7	4	3	7	1	7	8
A3_P9_692	8	7	3	1	9	1	4	1	1	1
A4_P6_693	10	8	6	5	7	7	10	5	1	1
A1_P5_694	5	1	9	10	4	9	6	3	9	10
A4_P6_695	10	8	6	1	1	1	1	4	1	1
A1_P5_696	1	1	1	10	7	1	7	1	1	3
A4_P6_697	10	9	8	1	9	1	1	1	1	1
A4_P9_698	9	9	7	10	9	6	10	9	6	5
A4_P7_699	10	1	6	5	4	2	1	5	1	6
A4_P6_700	10	10	10	10	10	10	10	1	1	1
A6_P3_701	8	8	8	8	10	8	1	8	8	8
A2_P2_702	9	4	7	2	4	3	5	4	5	3
A3_P9_703	7	10	9	7	7	7	9	7	7	7
A1_P4_704	1	1	7	9	1	7	4	7	6	4
A1_P5_705	1	1	1	7	7	1	7	1	9	1
A1_P5_706	1	7	5	7	5	1	7	1	1	5
A6_P3_707	1	1	10	1	10	1	1	1	1	1
A1_P5_708	1	1	9	10	2	5	9	1	1	10
A3_P6_709	5	5	5	5	6	5	5	5	1	5
A5_P6_710	10	8	8	7	9	7	8	7	7	1
A1_P6_711	8	10	9	10	9	9	5	8	7	1
A6_P3_712	10	1	10	10	10	1	1	10	6	10
A2_P2_713	8	7	7	7	7	7	8	8	7	7
A5_P1_714	1	1	1	1	1	1	9	1	1	9
A4_P2_715	9	1	5	1	9	6	9	1	1	5
A4_P3_716	9	1	8	1	7	1	1	5	1	6
A4_P6_717	10	3	4	5	5	6	3	7	1	1
A6_P3_718	8	1	6	5	9	5	3	6	9	9
A6_P7_719	10	10	1	10	10	1	1	1	1	10
A2_P2_720	10	1	1	1	1	1	1	1	1	1
A6_P9_721	10	10	5	9	10	5	10	5	10	10
A4_P2_722	9	1	9	1	1	1	7	1	5	5
A6_P1_723	1	1	6	1	10	3	8	1	9	1
A1_P5_724	1	1	1	10	1	1	1	1	1	9
A5_P4_725	1	1	10	8	1	8	1	6	5	8
A1_P5_726	4	1	7	10	6	6	7	3	7	1
A3_P4_727	8	10	9	1	1	6	1	1	7	1
A6_P5_728	6	6	8	7	6	7	7	5	5	6
A1_P5_729	1	6	7	9	9	3	10	1	8	10
A4_P5_730	1	6	6	9	1	9	6	7	3	5
A5_P6_731	7	5	9	4	6	5	3	3	2	3
A2_P8_732	1	1	3	1	1	3	1	1	1	10
A1_P6_733	6	5	9	8	8	9	2	3	4	2
A3_P9_734	1	10	9	1	1	1	1	1	1	1
A4_P6_735	10	10	10	7	1	7	1	1	1	1
A6_P8_736	9	7	7	1	8	9	8	1	6	9
A3_P6_737	9	10	10	5	10	10	6	5	7	6
A2_P8_738	7	7	9	7	7	8	7	7	7	10
A6_P3_739	1	1	8	1	10	1	1	1	1	1
A4_P6_740	9	6	7	7	8	6	7	5	5	3
A2_P4_741	2	1	8	1	1	1	1	1	10	1
A2_P6_742	6	8	8	7	6	9	5	7	5	5
A1_P5_743	3	2	9	10	4	1	9	1	8	3
A4_P6_744	10	9	10	9	9	6	9	10	8	8
A5_P9_745	8	10	1	1	7	1	6	1	1	5
A3_P9_746	3	9	2	3	6	1	1	3	1	1
A1_P3_747	8	4	9	9	10	3	6	2	1	6
A3_P9_748	1	9	8	1	9	1	8	1	1	1
A3_P4_749	6	10	10	1	1	10	10	1	6	4
A3_P9_750	5	9	7	5	5	1	7	1	1	1
A2_P4_751	7	1	10	4	4	8	10	3	10	5
A5_P6_752	10	10	10	9	10	9	10	10	8	9
A5_P1_753	1	1	8	1	5	1	10	1	1	1
A4_P3_754	8	1	4	1	7	1	1	10	5	1
A6_P6_755	5	7	9	5	10	9	1	1	1	1
A2_P6_756	10	7	10	5	10	10	3	5	1	3
A4_P6_757	10	3	10	4	5	10	2	10	6	1
A3_P6_758	8	8	9	7	6	6	1	8	1	1
A6_P9_759	7	6	7	1	7	1	9	6	1	1
A2_P9_760	10	8	4	5	8	1	9	10	1	1
A4_P6_761	6	6	8	7	6	6	9	9	1	1
A4_P6_762	8	8	8	7	8	6	9	7	3	6
A2_P2_763	7	6	9	6	6	8	10	4	3	3
A3_P8_764	8	10	6	1	8	9	10	1	1	9
A3_P1_765	1	9	9	1	9	8	8	1	7	8
A1_P3_766	10	1	1	1	10	10	1	1	1	1
A4_P2_767	8	1	8	1	1	1	1	1	1	1
A1_P9_768	9	8	10	6	9	1	8	6	10	1
A5_P8_769	1	1	1	1	8	1	1	1	1	9
A5_P7_770	3	1	1	1	1	1	1	1	1	5
A2_P1_771	1	1	9	1	1	1	7	1	6	10
A1_P4_772	8	8	10	8	8	9	4	7	9	9
A2_P8_773	8	1	8	1	8	3	9	6	1	10
A6_P1_774	1	1	8	1	1	1	8	1	8	1
A4_P8_775	10	10	6	4	4	4	10	4	1	10
A2_P3_776	10	1	1	1	9	8	8	9	7	7
A2_P3_777	1	8	9	1	10	1	1	10	1	9
A4_P7_778	10	7	7	6	1	6	5	7	7	8
A4_P8_779	8	8	8	7	7	9	8	9	8	10
A5_P1_780	1	1	10	1	1	1	10	1	1	1
A3_P9_781	1	10	1	1	1	1	5	1	7	1
A4_P2_782	9	7	7	3	3	2	6	3	5	7
A3_P7_783	10	10	1	10	1	1	1	1	1	10
A2_P4_784	1	5	5	1	1	1	1	4	5	1
A2_P4_785	1	10	9	1	1	8	5	1	3	1
A4_P4_786	8	8	10	8	8	10	10	8	10	10
A4_P6_787	10	8	7	1	6	1	1	6	1	1
A5_P2_788	9	1	7	1	1	5	9	1	3	1
A3_P9_789	1	10	1	1	1	1	6	1	3	1
A6_P4_790	6	3	10	6	6	7	5	5	7	8
A2_P9_791	7	7	7	1	9	6	9	1	1	1
A2_P1_792	2	3	10	7	10	1	7	1	1	1
A3_P6_793	6	5	7	7	6	7	7	6	1	1
A1_P7_794	1	6	1	6	9	1	1	1	1	10
A5_P3_795	10	1	1	1	10	5	1	1	1	1
A4_P4_796	9	6	10	6	6	10	2	6	10	6
A5_P2_797	10	8	9	4	4	1	8	1	6	1
A1_P6_798	1	2	9	5	6	7	2	3	1	1
A2_P7_799	8	8	8	8	8	7	1	8	7	9
A1_P2_800	9	1	8	10	1	1	6	1	1	1
A4_P2_801	10	1	10	1	1	6	4	1	1	1
A2_P3_802	10	1	1	9	10	1	1	1	1	1
A6_P1_803	1	1	7	1	8	4	8	1	1	4
A1_P5_804	3	3	9	9	3	3	9	3	3	3
A3_P3_805	1	1	1	1	7	1	1	1	1	1
A1_P7_806	5	7	4	8	3	7	3	7	5	10
A3_P6_807	6	10	8	8	9	1	1	5	1	2
A5_P7_808	10	10	9	10	8	10	9	10	9	9
A6_P3_809	10	1	8	10	10	8	6	1	6	1
A1_P1_810	1	1	10	1	8	1	7	5	9	1
A1_P8_811	9	1	7	1	1	1	1	1	1	9
A2_P4_812	1	7	10	7	1	10	1	1	1	1
A3_P3_813	8	1	10	1	6	4	1	1	3	1
A3_P9_814	4	10	4	4	10	4	10	4	4	4
A2_P8_815	10	8	9	7	10	10	6	5	3	10
A2_P9_816	9	9	8	7	6	5	9	8	4	4
A1_P3_817	1	1	5	8	8	5	1	1	1	1
A2_P3_818	10	1	1	1	7	1	1	8	1	1
A5_P2_819	7	4	6	1	5	6	7	1	4	6
A1_P5_820	1	1	6	10	1	1	10	1	7	1
A4_P9_821	9	10	1	1	8	1	10	1	1	1
A4_P2_822	10	1	1	1	1	1	1	1	1	1
A5_P1_823	3	4	6	3	9	10	8	4	5	7
A5_P1_824	3	4	9	4	6	7	9	4	7	8
A6_P1_825	1	1	9	1	1	1	8	1	1	1
A2_P2_826	10	1	5	1	10	5	9	8	7	1
A3_P6_827	1	10	10	1	10	10	1	1	1	1
A1_P5_828	1	1	8	10	9	1	8	1	1	10
A1_P7_829	4	9	4	10	1	2	1	2	2	7
A6_P1_830	1	1	10	1	5	1	1	1	7	10
A5_P7_831	6	1	1	1	1	1	1	10	1	1
A5_P3_832	6	1	7	5	4	1	1	1	1	1
A5_P3_833	5	1	9	1	5	8	1	3	1	3
A5_P4_834	1	1	3	2	1	2	1	1	1	1
A6_P7_835	5	6	5	5	2	1	2	6	1	6
A1_P5_836	2	6	6	10	8	3	7	5	3	5
A1_P2_837	5	4	9	3	1	1	9	1	1	1
A4_P6_838	7	9	9	1	9	8	7	1	1	1
A4_P7_839	10	9	1	7	1	1	1	9	1	1
A5_P8_840	9	7	8	7	9	10	6	1	7	9
A5_P4_841	7	7	10	1	8	9	1	1	9	1
A4_P8_842	1	4	1	1	1	1	8	1	4	10
A5_P8_843	7	4	7	4	4	7	2	4	4	10
A6_P1_844	1	1	8	1	8	1	8	1	1	1
A6_P3_845	5	3	10	3	10	1	5	3	10	1
A6_P1_846	5	5	9	1	8	1	9	5	10	10
A6_P2_847	8	1	8	1	8	1	8	1	1	1
A3_P9_848	1	10	1	1	1	1	1	1	1	1
A4_P2_849	10	1	5	1	1	5	8	1	1	5
A4_P6_850	9	8	10	1	7	10	10	7	1	1
A6_P6_851	10	10	10	1	10	10	10	10	1	1
A1_P3_852	1	1	1	1	8	1	1	1	1	1
A1_P5_853	7	8	10	8	7	5	9	5	8	8
A6_P9_854	9	10	6	8	10	10	10	9	10	10
A2_P4_855	1	1	10	1	1	1	1	10	1	1
A6_P1_856	1	1	7	1	9	1	8	1	9	1
A6_P1_857	1	1	8	1	1	1	8	1	1	1
A3_P6_858	9	10	6	1	6	1	1	1	1	1
A2_P1_859	1	1	9	1	1	1	9	1	1	1
A3_P6_860	9	9	8	9	7	9	7	9	3	1
A6_P3_861	8	1	8	1	8	1	1	1	1	1
A3_P9_862	1	10	10	1	7	1	4	1	5	5
A6_P1_863	1	1	10	1	10	1	10	1	10	10
A1_P3_864	9	1	5	1	10	3	1	1	1	1
A3_P9_865	1	10	1	1	1	1	1	1	1	1
A5_P2_866	10	10	10	1	10	5	10	1	10	1
A4_P3_867	1	5	9	1	6	1	1	8	1	5
A1_P5_868	1	1	6	10	7	7	1	1	10	1
A4_P2_869	10	3	6	3	3	3	9	5	3	5
A1_P5_870	1	1	2	10	1	1	8	1	9	9
A3_P6_871	6	7	8	1	6	6	1	1	1	4
A3_P9_872	5	10	1	1	5	1	1	5	1	5
A6_P3_873	6	1	1	1	10	1	1	1	1	1
A3_P6_874	6	6	8	6	8	8	1	2	1	5
A1_P3_875	5	6	8	7	8	6	4	3	8	2
A3_P4_876	1	8	10	1	4	9	1	1	10	1
A6_P1_877	1	1	10	1	9	8	8	1	9	10
A2_P2_878	8	1	10	1	3	10	10	4	6	3
A2_P8_879	3	6	8	7	5	4	2	7	2	9
A4_P1_880	6	2	9	5	7	8	10	3	10	1
A3_P6_881	6	9	9	1	1	1	1	1	1	1
A6_P1_882	4	1	10	1	1	4	10	1	10	4
A6_P6_883	7	6	10	1	1	1	1	1	1	1
A3_P6_884	3	6	7	6	7	6	3	1	1	1
A2_P3_885	5	1	7	1	9	5	1	7	1	1
A1_P1_886	1	4	10	3	1	1	7	1	4	1
A6_P6_887	6	6	10	6	8	10	1	1	1	1
A3_P9_888	5	10	1	1	1	1	8	1	4	1
A5_P8_889	7	1	6	1	1	5	1	1	1	8
A4_P6_890	9	9	10	2	9	9	10	9	3	2
A6_P8_891	8	7	9	7	7	8	10	7	1	9
A6_P2_892	9	8	1	1	1	9	9	1	5	1
A6_P3_893	1	1	1	1	8	1	3	8	1	8
A3_P9_894	1	10	1	1	8	9	1	1	1	1
A2_P6_895	9	6	7	7	9	4	4	7	1	1
A2_P5_896	6	1	5	6	6	5	7	6	7	10
A5_P3_897	7	1	7	1	9	7	6	3	8	1
A4_P2_898	10	1	1	1	1	1	6	1	6	1
A2_P9_899	1	10	1	1	10	1	1	1	1	10
A5_P1_900	1	1	9	3	1	1	10	1	6	1
A1_P5_901	8	7	9	9	8	6	9	8	7	9
A2_P9_902	1	8	9	1	1	1	1	1	1	1
A1_P5_903	5	6	7	10	1	1	10	1	10	1
A1_P5_904	1	1	1	10	1	1	5	1	1	7
A5_P3_905	10	1	1	9	10	2	5	5	1	1
A3_P6_906	9	10	5	9	10	4	1	9	2	3
A2_P4_907	1	1	1	1	6	8	5	6	10	1
A2_P8_908	7	7	6	2	7	7	5	7	4	7
A1_P8_909	1	1	9	1	3	6	1	1	1	8
A4_P2_910	5	5	9	5	5	5	10	5	1	1
A5_P1_911	1	1	10	1	8	4	6	1	4	1
A1_P7_912	8	1	1	6	2	7	8	10	2	6
A4_P6_913	8	7	10	1	8	7	5	8	1	1
A4_P7_914	7	6	2	7	6	3	1	6	6	7
A5_P1_915	1	1	5	1	1	1	5	1	5	1
A3_P9_916	1	9	1	1	7	1	1	8	1	1
A5_P6_917	6	8	7	1	10	1	1	9	1	1
A1_P7_918	6	6	5	10	1	1	1	1	1	8
A2_P2_919	9	1	9	1	1	8	10	10	1	1
A3_P9_920	1	10	1	1	1	1	1	1	1	1
A5_P8_921	1	4	1	1	1	1	1	1	8	9
A1_P5_922	1	1	7	9	3	5	1	1	7	8
A5_P6_923	10	6	8	6	8	4	1	6	2	1
A4_P2_924	10	1	8	1	1	1	8	1	1	1
A2_P7_925	7	7	7	7	7	7	7	8	7	7
A5_P4_926	8	8	10	8	8	10	9	9	10	8
A1_P3_927	1	1	1	3	10	1	1	1	1	10
A5_P6_928	5	5	8	5	5	5	8	5	1	1
A3_P9_929	1	10	4	1	7	2	1	1	1	1
A3_P6_930	7	7	7	6	7	6	5	6	6	1
A4_P2_931	10	1	7	1	6	1	9	1	1	7
A5_P2_932	4	1	7	1	1	1	7	1	1	1
A3_P7_933	10	10	10	10	10	10	8	10	8	10
A5_P4_934	3	1	9	3	1	1	5	1	8	10
A3_P1_935	6	8	8	1	9	8	9	1	9	1
A5_P1_936	1	1	9	1	1	1	9	1	1	1
A3_P2_937	6	1	2	6	5	2	6	1	1	1
A6_P6_938	7	7	8	1	7	1	1	1	1	1
A3_P8_939	6	10	9	1	9	8	5	6	8	10
A3_P9_940	1	10	1	1	1	1	10	1	1	1
A3_P6_941	8	8	5	5	10	1	1	5	1	1
A6_P3_942	8	1	8	1	10	1	1	1	1	9
A3_P9_943	1	10	9	8	8	1	1	1	1	1
A5_P3_944	1	1	9	1	9	1	1	1	1	1
A3_P6_945	7	7	7	6	6	6	6	7	1	5
A3_P9_946	1	10	8	1	4	6	7	1	7	1
A2_P6_947	9	7	7	8	10	10	1	8	1	1
A2_P3_948	7	1	10	1	9	1	1	8	1	1
A3_P6_949	4	6	9	5	1	4	1	4	1	1
A2_P6_950	8	6	8	7	6	8	3	9	1	3
A4_P2_951	7	5	8	1	1	1	10	1	1	1
A3_P7_952	10	7	4	6	9	3	1	5	1	4
A4_P6_953	1	7	9	1	10	7	1	1	5	1
A3_P6_954	9	8	8	8	9	8	6	9	1	8
A5_P3_955	10	1	10	1	9	9	1	1	1	1
A1_P5_956	1	6	6	7	1	5	5	1	3	4
A4_P6_957	9	7	8	1	9	7	2	10	2	2
A6_P3_958	10	10	10	1	10	10	1	10	10	10
A3_P4_959	3	10	10	5	5	10	10	5	7	4
A4_P8_960	9	8	9	8	9	9	4	9	1	9
A4_P2_961	10	3	1	1	1	4	8	1	1	1
A4_P2_962	5	1	5	1	1	5	1	1	1	1
A5_P2_963	10	1	8	5	1	6	9	1	7	8
A6_P1_964	1	1	1	1	9	9	9	1	9	1
A5_P1_965	1	1	10	1	1	1	4	1	1	1
A3_P9_966	5	8	5	5	5	4	7	5	3	5
A3_P9_967	1	9	1	1	1	1	1	1	1	1
A2_P6_968	9	9	9	6	9	8	8	8	8	7
A3_P6_969	5	10	7	6	8	6	3	1	1	4
A4_P2_970	10	5	5	5	5	5	7	5	5	5
A3_P1_971	2	1	7	5	2	8	9	6	6	10
A6_P2_972	10	5	6	7	8	4	10	1	1	7
A2_P6_973	7	6	9	1	10	4	8	5	1	1
A1_P4_974	1	1	10	7	1	9	8	1	6	1
A3_P1_975	4	6	7	6	6	5	9	6	8	7
A6_P1_976	1	1	1	1	1	1	5	1	1	1
A6_P1_977	1	1	1	1	7	1	9	1	1	1
A5_P1_978	3	5	10	5	3	9	10	5	1	6
A2_P6_979	7	7	7	7	7	1	1	1	1	1
A6_P7_980	6	6	6	7	8	6	1	6	6	8
A2_P2_981	7	1	10	1	7	1	8	7	8	1
A3_P3_982	10	5	9	3	9	6	5	1	5	7
A2_P7_983	1	1	1	1	1	1	1	8	1	1
A3_P6_984	1	9	9	1	4	1	1	9	1	1
A1_P7_985	9	1	1	9	1	8	4	4	1	9
A1_P5_986	1	1	8	8	6	1	7	1	7	10
A1_P5_987	7	7	9	9	4	6	6	7	7	7
A1_P6_988	1	8	8	6	6	7	1	1	1	1
A3_P9_989	6	8	1	2	5	1	1	1	1	3
A3_P9_990	6	9	6	4	9	2	1	1	1	6
A5_P4_991	3	2	7	3	1	7	7	3	6	7
A4_P6_992	8	8	10	8	10	9	1	1	1	1
